episode,frames,episode_reward,episode_len,epsilon,loss,success
39,3686,0,100,0.9805461111111111,2.2940675044083037e-05,0
40,3786,0,100,0.9800183333333333,1.988109945614269e-05,0
41,3886,0,100,0.9794905555555555,2.6050699029838143e-05,0
42,3971,0.235,85,0.9790419444444445,2.3814928504982484e-05,1
43,4071,0,100,0.9785141666666667,0.000261680995399729,0
44,4171,0,100,0.9779863888888889,0.0001725270690076286,0
45,4271,0,100,0.9774586111111111,0.00012230579526658402,0
46,4293,0.802,22,0.9773425,8.791871178717966e-05,1
47,4393,0,100,0.9768147222222222,0.0002488930712934234,0
48,4493,0,100,0.9762869444444444,0.00011532987671671436,0
49,4593,0,100,0.9757591666666666,0.0001280359284100996,0
50,4693,0,100,0.9752313888888889,4.389145087770885e-05,0
51,4793,0,100,0.9747036111111111,5.454334471323818e-05,0
52,4814,0.8109999999999999,21,0.9745927777777778,3.639628110769471e-05,1
53,4914,0,100,0.974065,0.00015640447460100405,0
54,5014,0,100,0.9735372222222223,0.0001569467024455662,0
55,5114,0,100,0.9730094444444445,0.00046468932792777197,0
56,5214,0,100,0.9724816666666667,0.00025126725318841636,0
57,5314,0,100,0.9719538888888889,0.000145631851410144,0
58,5414,0,100,0.9714261111111111,0.00013126570054737387,0
59,5514,0,100,0.9708983333333333,0.00010718828953031334,0
60,5614,0,100,0.9703705555555555,0.00014591396367904963,0
61,5714,0,100,0.9698427777777778,7.828149140550523e-05,0
62,5814,0,100,0.969315,6.990231746385689e-05,0
63,5914,0,100,0.9687872222222222,6.269037743550143e-05,0
64,6014,0,100,0.9682594444444445,0.00016819987983581085,0
65,6114,0,100,0.9677316666666667,0.0004263924165570643,0
66,6214,0,100,0.9672038888888889,0.0002893369802040979,0
67,6314,0,100,0.9666761111111111,0.00040883090849092697,0
68,6414,0,100,0.9661483333333334,0.00015645796924218302,0
69,6514,0,100,0.9656205555555556,0.00017030574548698496,0
70,6614,0,100,0.9650927777777778,0.00011120036826469004,0
71,6714,0,100,0.964565,8.632901306555141e-05,0
72,6814,0,100,0.9640372222222222,9.015441672090674e-05,0
73,6914,0,100,0.9635094444444444,6.81086627264449e-05,0
74,7014,0,100,0.9629816666666666,0.00017391875389876076,0
75,7114,0,100,0.9624538888888889,0.000408133714881842,0
76,7214,0,100,0.9619261111111111,0.0002919022876449162,0
77,7314,0,100,0.9613983333333334,0.00024116879947541747,0
78,7414,0,100,0.9608705555555556,0.00039336974139587256,0
79,7469,0.5049999999999999,55,0.9605802777777778,0.00019390087009841492,1
80,7569,0,100,0.9600525,0.000191666202590568,0
81,7669,0,100,0.9595247222222222,0.0001296395364261116,0
82,7769,0,100,0.9589969444444445,0.00013130173141689738,0
83,7869,0,100,0.9584691666666667,0.00010866483624340617,0
84,7969,0,100,0.9579413888888889,9.70524015792762e-05,0
85,8069,0,100,0.9574136111111111,0.00045350999895163116,0
86,8169,0,100,0.9568858333333333,0.0003331747018819442,0
87,8269,0,100,0.9563580555555555,0.0002467774279648438,0
88,8369,0,100,0.9558302777777777,0.00019454457877145613,0
89,8469,0,100,0.9553024999999999,0.00019261543740867638,0
90,8569,0,100,0.9547747222222223,0.00022273141992627644,0
91,8669,0,100,0.9542469444444445,0.00016079253695352235,0
92,8680,0.901,11,0.9541888888888889,0.00011603577943539925,1
93,8780,0,100,0.9536611111111111,0.0001757029874715954,0
94,8809,0.739,29,0.9535080555555555,0.00012010061756631455,1
95,8909,0,100,0.9529802777777778,0.00011983496671746251,0
96,9009,0,100,0.9524525,0.00017564480420332985,0
97,9109,0,100,0.9519247222222222,0.0007348729002114851,0
98,9209,0,100,0.9513969444444444,0.00037015287052781786,0
99,9309,0,100,0.9508691666666667,0.0002776602961967001,0
100,9409,0,100,0.9503413888888889,0.0002624003914388595,0
101,9484,0.32499999999999996,75,0.9499455555555556,0.0001835449225230453,1
102,9584,0,100,0.9494177777777778,0.0001687331867287867,0
103,9684,0,100,0.94889,0.00013333034963579848,0
104,9784,0,100,0.9483622222222222,0.0001313190004657372,0
105,9884,0,100,0.9478344444444444,0.00011195157279871638,0
106,9984,0,100,0.9473066666666666,0.000112633429307607,0
107,10084,0,100,0.9467788888888888,0.00048238187890092376,0
108,10184,0,100,0.9462511111111112,0.00031014304593554695,0
109,10284,0,100,0.9457233333333334,0.00027467699452245144,0
110,10384,0,100,0.9451955555555556,0.0002438470465131104,0
111,10387,0.973,3,0.9451797222222222,0.00027837936067953706,1
112,10487,0,100,0.9446519444444444,0.00030465996911516413,0
113,10587,0,100,0.9441241666666667,0.00018537105272116604,0
114,10687,0,100,0.9435963888888889,0.00018154436129407258,0
115,10787,0,100,0.9430686111111111,0.00014475969721388537,0
116,10887,0,100,0.9425408333333334,0.0001704668164893519,0
117,10987,0,100,0.9420130555555556,0.00015132114604057278,0
118,11087,0,100,0.9414852777777778,0.0005293793782038847,0
119,11187,0,100,0.9409575,0.0003560107424709713,0
120,11287,0,100,0.9404297222222222,0.0004434611223405227,0
121,11387,0,100,0.9399019444444444,0.000256459032643761,0
122,11487,0,100,0.9393741666666666,0.00021799998303322353,0
123,11587,0,100,0.9388463888888889,0.0001863251808390487,0
124,11687,0,100,0.9383186111111111,0.00020107229031054885,0
125,11787,0,100,0.9377908333333334,0.00018066274267766858,0
126,11866,0.2889999999999999,79,0.937373888888889,0.00017022888250376359,1
127,11966,0,100,0.9368461111111112,0.0002224802023920347,0
128,12066,0,100,0.9363183333333334,0.0005341643422434573,0
129,12166,0,100,0.9357905555555556,0.0004566395642905263,0
130,12201,0.685,35,0.9356058333333334,0.0004346488555061764,1
131,12301,0,100,0.9350780555555556,0.0003535136665595928,0
132,12401,0,100,0.9345502777777778,0.00028200396271131466,0
133,12501,0,100,0.9340225,0.00026043874171591594,0
134,12601,0,100,0.9334947222222222,0.00023476260401366744,0
135,12701,0,100,0.9329669444444444,0.00023917122634884436,0
136,12801,0,100,0.9324391666666667,0.00017871613112220076,0
137,12842,0.631,41,0.9322227777777777,0.0002272303442246417,1
138,12942,0,100,0.9316949999999999,0.0002088739350801916,0
139,13042,0,100,0.9311672222222223,0.0005025939725965145,0
140,13142,0,100,0.9306394444444445,0.0004881258953537326,0
141,13150,0.9279999999999999,8,0.9305972222222222,0.0003343813878018409,1
142,13250,0,100,0.9300694444444444,0.00034097491625288966,0
143,13350,0,100,0.9295416666666667,0.0003111370480473852,0
144,13450,0,100,0.9290138888888889,0.00029327007694519126,0
145,13550,0,100,0.9284861111111111,0.00023724509010207838,0
146,13650,0,100,0.9279583333333333,0.00024197881499276263,0
147,13750,0,100,0.9274305555555555,0.0002328219927585451,0
148,13850,0,100,0.9269027777777777,0.0002000249736738624,0
149,13950,0,100,0.926375,0.00018644990919710835,0
150,14050,0,100,0.9258472222222223,0.00040994728260557167,0
151,14150,0,100,0.9253194444444445,0.00046062990979407916,0
152,14250,0,100,0.9247916666666667,0.0003763513260491891,0
153,14350,0,100,0.9242638888888889,0.00034005230831098745,0
154,14450,0,100,0.9237361111111111,0.00033257572846196126,0
155,14550,0,100,0.9232083333333333,0.0002944640312489355,0
156,14650,0,100,0.9226805555555555,0.0003237909701419994,0
157,14750,0,100,0.9221527777777778,0.0002456358758354327,0
158,14850,0,100,0.921625,0.00024104496464133262,0
159,14950,0,100,0.9210972222222222,0.00022836579904833343,0
160,14988,0.6579999999999999,38,0.9208966666666667,0.0002223198054324664,1
161,15088,0,100,0.9203688888888889,0.000572422501645633,0
162,15188,0,100,0.9198411111111111,0.0004288599092978984,0
163,15266,0.29799999999999993,78,0.9194294444444444,0.0003929542696987016,1
164,15366,0,100,0.9189016666666667,0.0003390928673616145,0
165,15466,0,100,0.9183738888888889,0.00033290654107986483,0
166,15560,0.15400000000000003,94,0.9178777777777778,0.00033571712009824236,1
167,15660,0,100,0.91735,0.0002644431412772974,0
168,15760,0,100,0.9168222222222222,0.00025481363954895644,0
169,15860,0,100,0.9162944444444444,0.00025290250570833453,0
170,15960,0,100,0.9157666666666666,0.0002333887855274952,0
171,16060,0,100,0.9152388888888889,0.0005177040046692127,0
172,16160,0,100,0.9147111111111111,0.0005330081631836947,0
173,16260,0,100,0.9141833333333333,0.0004659109858766897,0
174,16360,0,100,0.9136555555555556,0.00040728198015131054,0
175,16460,0,100,0.9131277777777778,0.0003695047468499979,0
176,16560,0,100,0.9126,0.00033267706807237117,0
177,16660,0,100,0.9120722222222222,0.0002808157216350082,0
178,16760,0,100,0.9115444444444445,0.00029254265304189174,0
179,16789,0.739,29,0.9113913888888889,0.00031122547142299953,1
180,16889,0,100,0.9108636111111111,0.0003355652502796147,0
181,16989,0,100,0.9103358333333333,0.000305223599425517,0
182,17089,0,100,0.9098080555555556,0.0006736619722505565,0
183,17189,0,100,0.9092802777777778,0.0005679694733407814,0
184,17289,0,100,0.9087525,0.00043681221824954264,0
185,17389,0,100,0.9082247222222222,0.00038220007496420294,0
186,17489,0,100,0.9076969444444445,0.00039332396183453964,0
187,17589,0,100,0.9071691666666667,0.0003505016207782319,0
188,17689,0,100,0.9066413888888889,0.00038534711173269896,0
189,17789,0,100,0.9061136111111111,0.0003459450432274025,0
190,17889,0,100,0.9055858333333333,0.0002954916749149561,0
191,17989,0,100,0.9050580555555555,0.00031775115901837124,0
192,18089,0,100,0.9045302777777777,0.000533167930552736,0
193,18189,0,100,0.9040025,0.0004750426873215474,0
194,18289,0,100,0.9034747222222222,0.00046587111966800876,0
195,18329,0.6399999999999999,40,0.9032636111111111,0.0004682796839915682,1
196,18429,0,100,0.9027358333333333,0.00037904118980804926,0
197,18529,0,100,0.9022080555555556,0.0003857299314404372,0
198,18629,0,100,0.9016802777777778,0.00037647318713425194,0
199,18729,0,100,0.9011525,0.00035863162029272646,0
200,18829,0,100,0.9006247222222222,0.0003369022926926846,0
201,18929,0,100,0.9000969444444444,0.000336058707034681,0
202,19029,0,100,0.8995691666666666,0.00045449972625647203,0
203,19129,0,100,0.8990413888888888,0.0005007403170748148,0
204,19229,0,100,0.8985136111111112,0.0004338918889698107,0
205,19329,0,100,0.8979858333333334,0.00045077899703755976,0
206,19429,0,100,0.8974580555555556,0.0003486710945435334,0
207,19529,0,100,0.8969302777777778,0.00040074936376186085,0
208,19597,0.3879999999999999,68,0.8965713888888889,0.00042794437639018083,1
209,19697,0,100,0.8960436111111111,0.00039255079995200506,0
210,19797,0,100,0.8955158333333333,0.0003532120321324328,0
211,19897,0,100,0.8949880555555556,0.0003666641080417321,0
212,19997,0,100,0.8944602777777778,0.0002903194227110362,0
213,20097,0,100,0.8939325,0.0005068595818738686,0
