episode,frames,episode_reward,episode_len,epsilon,loss,success
1,100,0,100,0.9994722222222222,5.561683754395758e-05,0
2,187,0.21699999999999997,87,0.9990130555555555,2.8316062431760406e-05,1
3,287,0,100,0.9984852777777777,2.2718242780683796e-05,0
4,387,0,100,0.9979575,8.145520853304333e-06,0
5,487,0,100,0.9974297222222223,7.975849387094058e-06,0
6,587,0,100,0.9969019444444445,7.947243741455168e-06,0
7,687,0,100,0.9963741666666667,6.24333106316044e-06,0
8,787,0,100,0.9958463888888889,5.597559616035141e-06,0
9,887,0,100,0.9953186111111111,5.41422692094784e-06,0
10,987,0,100,0.9947908333333333,5.855606947307023e-06,0
11,1087,0,100,0.9942630555555556,3.462213098828215e-05,0
12,1187,0,100,0.9937352777777778,1.0221166805877146e-05,0
13,1287,0,100,0.9932075,4.825612395507051e-06,0
14,1387,0,100,0.9926797222222222,4.065104321853141e-06,0
15,1487,0,100,0.9921519444444444,4.032782055105599e-06,0
16,1587,0,100,0.9916241666666666,2.6129566407462335e-06,0
17,1687,0,100,0.9910963888888888,2.643766175651763e-06,0
18,1787,0,100,0.9905686111111112,2.9023304125530557e-06,0
19,1887,0,100,0.9900408333333334,2.971068953456779e-06,0
20,1987,0,100,0.9895130555555556,2.188580595543499e-06,0
21,2008,0.8109999999999999,21,0.9894022222222222,7.778214828135788e-05,1
22,2108,0,100,0.9888744444444444,0.00011368381947249873,0
23,2208,0,100,0.9883466666666667,2.5684030688353233e-05,0
24,2308,0,100,0.9878188888888889,7.050014000924421e-06,0
25,2408,0,100,0.9872911111111111,4.873544932024743e-06,0
26,2508,0,100,0.9867633333333333,7.742912332560081e-06,0
27,2608,0,100,0.9862355555555555,4.107299932911701e-06,0
28,2637,0.739,29,0.9860825,3.6192973782127753e-06,1
29,2737,0,100,0.9855547222222222,7.128614026896685e-05,0
30,2837,0,100,0.9850269444444445,1.1981829836713586e-05,0
31,2937,0,100,0.9844991666666667,1.2364177572408152e-05,0
32,3037,0,100,0.9839713888888889,0.00012527535422918846,0
33,3137,0,100,0.9834436111111111,5.044466444360296e-05,0
34,3237,0,100,0.9829158333333333,1.5267083040271245e-05,0
35,3337,0,100,0.9823880555555555,1.0783862983316794e-05,0
36,3437,0,100,0.9818602777777777,7.536288831033744e-06,0
37,3527,0.18999999999999995,90,0.9813852777777777,6.265636660726967e-06,1
38,3627,0,100,0.9808575,5.436526823814347e-06,0
39,3727,0,100,0.9803297222222223,7.007233264175738e-06,0
40,3827,0,100,0.9798019444444445,6.619931378963884e-06,0
41,3927,0,100,0.9792741666666667,5.092160153026271e-06,0
42,4027,0,100,0.9787463888888889,2.6661491308459517e-05,0
43,4127,0,100,0.9782186111111111,9.091654169424146e-05,0
44,4227,0,100,0.9776908333333333,7.262085617185221e-05,0
45,4327,0,100,0.9771630555555556,2.3445984793397657e-05,0
46,4427,0,100,0.9766352777777778,2.10966307417948e-05,0
47,4527,0,100,0.9761075,1.1311110399674363e-05,0
48,4627,0,100,0.9755797222222222,7.313300002351752e-06,0
49,4727,0,100,0.9750519444444444,6.681785991986544e-06,0
50,4827,0,100,0.9745241666666666,5.312121301130901e-06,0
51,4927,0,100,0.9739963888888888,6.8154574694290205e-06,0
52,4996,0.379,69,0.9736322222222222,6.163321835220563e-06,1
53,5096,0,100,0.9731044444444444,5.396438308707729e-05,0
54,5196,0,100,0.9725766666666666,6.262576805056597e-05,0
55,5296,0,100,0.9720488888888889,1.8135034383703897e-05,0
56,5374,0.29799999999999993,78,0.9716372222222223,3.2058631457123105e-05,1
57,5474,0,100,0.9711094444444445,1.3911848759562417e-05,0
58,5574,0,100,0.9705816666666667,1.492981710953245e-05,0
59,5674,0,100,0.9700538888888889,9.860931361345138e-06,0
60,5774,0,100,0.9695261111111111,1.0580728494460345e-05,0
61,5874,0,100,0.9689983333333333,9.926659902248503e-06,0
62,5974,0,100,0.9684705555555555,7.294593460756005e-06,0
63,6074,0,100,0.9679427777777778,5.4210322809922217e-05,0
64,6174,0,100,0.967415,3.377337914571399e-05,0
65,6274,0,100,0.9668872222222222,2.3592144657413883e-05,0
66,6374,0,100,0.9663594444444444,6.463644195719099e-05,0
67,6474,0,100,0.9658316666666666,2.1135447534561537e-05,0
68,6574,0,100,0.9653038888888889,1.1640470702332096e-05,0
69,6674,0,100,0.9647761111111111,1.6179340543658328e-05,0
70,6774,0,100,0.9642483333333334,1.3184952540541418e-05,0
71,6874,0,100,0.9637205555555556,1.3709582997307735e-05,0
72,6974,0,100,0.9631927777777778,1.2010946832106129e-05,0
73,7074,0,100,0.962665,4.888563345048169e-05,0
74,7174,0,100,0.9621372222222222,8.794972609393881e-05,0
75,7274,0,100,0.9616094444444444,2.931101939338987e-05,0
76,7374,0,100,0.9610816666666666,2.0733303983888618e-05,0
77,7474,0,100,0.9605538888888889,2.725612715948955e-05,0
78,7574,0,100,0.9600261111111111,2.0361562937978307e-05,0
79,7674,0,100,0.9594983333333333,1.5780486758103508e-05,0
80,7774,0,100,0.9589705555555555,1.3440205966617214e-05,0
81,7874,0,100,0.9584427777777778,1.2859582736837183e-05,0
82,7974,0,100,0.957915,1.2891353835584595e-05,0
83,8074,0,100,0.9573872222222222,5.677160254890623e-05,0
84,8174,0,100,0.9568594444444445,4.1883508893079124e-05,0
85,8274,0,100,0.9563316666666667,2.7369420981813162e-05,0
86,8374,0,100,0.9558038888888889,3.413372376599e-05,0
87,8474,0,100,0.9552761111111111,3.086885142238316e-05,0
88,8574,0,100,0.9547483333333333,1.97218017274281e-05,0
89,8674,0,100,0.9542205555555555,2.0272301753720967e-05,0
90,8774,0,100,0.9536927777777777,1.8668694351617888e-05,0
91,8874,0,100,0.953165,1.7447628060835995e-05,0
92,8876,0.982,2,0.9531544444444444,1.5306033674278297e-05,1
93,8976,0,100,0.9526266666666666,6.758386117780902e-05,0
94,9076,0,100,0.9520988888888889,7.405459284200333e-05,0
95,9176,0,100,0.9515711111111111,4.795111422026821e-05,0
96,9276,0,100,0.9510433333333334,3.866670896968571e-05,0
97,9376,0,100,0.9505155555555556,6.3681887322673e-05,0
98,9476,0,100,0.9499877777777778,2.7157787071701024e-05,0
99,9517,0.631,41,0.9497713888888889,2.277007370583128e-05,1
100,9617,0,100,0.9492436111111111,6.5748077167882e-05,0
101,9717,0,100,0.9487158333333333,2.8401420099726237e-05,0
102,9817,0,100,0.9481880555555555,2.689692815692979e-05,0
103,9917,0,100,0.9476602777777778,2.1329540732040187e-05,0
104,10017,0,100,0.9471325,4.139047915487026e-05,0
105,10117,0,100,0.9466047222222223,7.341890850511845e-05,0
106,10217,0,100,0.9460769444444445,5.6299085308637586e-05,0
107,10317,0,100,0.9455491666666667,5.1867749480152267e-05,0
108,10417,0,100,0.9450213888888889,3.438796371483477e-05,0
109,10517,0,100,0.9444936111111111,3.411424399928365e-05,0
110,10617,0,100,0.9439658333333334,4.784691154782195e-05,0
111,10699,0.262,82,0.9435330555555556,2.813270590394961e-05,1
112,10799,0,100,0.9430052777777778,2.6240459446853493e-05,0
113,10899,0,100,0.9424775,3.764103991670709e-05,0
114,10999,0,100,0.9419497222222222,6.859701886241965e-05,0
115,11048,0.5589999999999999,49,0.9416911111111111,9.128084282713886e-05,1
116,11148,0,100,0.9411633333333334,8.654989951537573e-05,0
117,11248,0,100,0.9406355555555556,7.706585671257926e-05,0
118,11348,0,100,0.9401077777777778,5.269558336294722e-05,0
119,11448,0,100,0.93958,4.1242643164878244e-05,0
120,11548,0,100,0.9390522222222222,3.73282306100009e-05,0
121,11648,0,100,0.9385244444444445,5.241921665401605e-05,0
122,11748,0,100,0.9379966666666667,5.001637520763324e-05,0
123,11848,0,100,0.9374688888888889,3.682431370179984e-05,0
124,11948,0,100,0.9369411111111111,2.8948026711077545e-05,0
125,12048,0,100,0.9364133333333333,9.779833311768016e-05,0
126,12050,0.982,2,0.9364027777777778,0.00014179451682139188,1
127,12150,0,100,0.935875,0.00011914325827092398,0
128,12241,0.18099999999999994,91,0.9353947222222222,7.899116067014952e-05,1
129,12341,0,100,0.9348669444444444,5.787489577414817e-05,0
130,12412,0.361,71,0.9344922222222223,5.0051360695235906e-05,1
131,12512,0,100,0.9339644444444445,4.61427695609018e-05,0
132,12612,0,100,0.9334366666666667,4.2023416781376e-05,0
133,12661,0.5589999999999999,49,0.9331780555555556,4.4657598905638336e-05,1
134,12761,0,100,0.9326502777777778,4.550727752757666e-05,0
135,12861,0,100,0.9321225,2.980006899633736e-05,0
136,12961,0,100,0.9315947222222223,2.912703402216721e-05,0
137,13061,0,100,0.9310669444444445,9.827763671637512e-05,0
138,13161,0,100,0.9305391666666667,0.00011341433324560057,0
139,13261,0,100,0.9300113888888889,7.864996759963106e-05,0
140,13361,0,100,0.9294836111111111,6.468182709795656e-05,0
141,13461,0,100,0.9289558333333333,5.449938407764421e-05,0
142,13561,0,100,0.9284280555555555,4.4030988019585495e-05,0
143,13661,0,100,0.9279002777777778,4.077635516296141e-05,0
144,13761,0,100,0.9273725,4.658040445065126e-05,0
145,13861,0,100,0.9268447222222223,4.554305519377522e-05,0
146,13961,0,100,0.9263169444444445,4.192582505311293e-05,0
147,14061,0,100,0.9257891666666667,8.41828871944017e-05,0
148,14161,0,100,0.9252613888888889,9.475654349444084e-05,0
149,14261,0,100,0.9247336111111111,8.329264128406066e-05,0
150,14361,0,100,0.9242058333333334,6.073882362215954e-05,0
151,14461,0,100,0.9236780555555556,6.998479515459622e-05,0
152,14561,0,100,0.9231502777777778,5.2822241550529724e-05,0
153,14661,0,100,0.9226225,4.745859707327327e-05,0
154,14686,0.775,25,0.9224905555555556,5.265484032861423e-05,1
155,14786,0,100,0.9219627777777778,8.185728804164682e-05,0
156,14798,0.892,12,0.9218994444444445,5.955004750527829e-05,1
157,14898,0,100,0.9213716666666667,7.927454898890574e-05,0
158,14998,0,100,0.9208438888888889,4.244066898081655e-05,0
159,15047,0.5589999999999999,49,0.9205852777777778,0.00013162697664205442,1
160,15067,0.82,20,0.9204797222222222,0.00012691058018390322,1
161,15167,0,100,0.9199519444444444,0.0001705015239895147,0
162,15267,0,100,0.9194241666666667,0.00013417156635114224,0
163,15367,0,100,0.9188963888888889,8.313983807965997e-05,0
164,15467,0,100,0.9183686111111111,7.442235323651403e-05,0
165,15567,0,100,0.9178408333333333,7.559460296761244e-05,0
166,15667,0,100,0.9173130555555555,6.356810672514257e-05,0
167,15767,0,100,0.9167852777777777,5.797871088361717e-05,0
168,15867,0,100,0.9162575,6.511268793474301e-05,0
169,15967,0,100,0.9157297222222223,5.2913533836544956e-05,0
170,16067,0,100,0.9152019444444445,9.26321154111065e-05,0
171,16167,0,100,0.9146741666666667,0.00014147687459626469,0
172,16267,0,100,0.9141463888888889,8.409596946876263e-05,0
173,16367,0,100,0.9136186111111111,8.483429675834486e-05,0
174,16467,0,100,0.9130908333333333,7.867031052228413e-05,0
175,16567,0,100,0.9125630555555555,0.00010268891153828008,0
176,16667,0,100,0.9120352777777778,7.798814147463417e-05,0
177,16767,0,100,0.9115075,7.137050430173986e-05,0
178,16867,0,100,0.9109797222222222,8.248982783698011e-05,0
179,16913,0.586,46,0.9107369444444444,7.154225012646234e-05,1
180,16950,0.667,37,0.9105416666666667,9.404874657087242e-05,1
181,17050,0,100,0.9100138888888889,0.00012755630017636578,0
182,17150,0,100,0.9094861111111111,0.00012199821347167017,0
183,17250,0,100,0.9089583333333333,0.0001168306664658303,0
184,17350,0,100,0.9084305555555555,8.669270209793467e-05,0
185,17353,0.973,3,0.9084147222222222,4.492035441217013e-05,1
186,17453,0,100,0.9078869444444444,0.00010497482207938447,0
