episode,episode_reward,episode_len,epsilon,loss
0,5.0,7,0.9999841666666667,
1,0.5,3,0.9999683333333333,
2,-2.0,5,0.9999525,
3,0.5,3,0.9999366666666667,
4,0.5,3,0.9999208333333334,
5,1.0,4,0.999905,
6,-1.0,4,0.9998891666666667,
7,0.5,3,0.9998733333333334,
8,-0.5,3,0.9998575000000001,
9,0.5,3,0.9998416666666667,
10,-2.0,6,0.9998258333333334,
11,4.0,7,0.9998100000000001,
12,-0.5,3,0.9997941666666668,
13,-1.0,4,0.9997783333333334,
14,-0.5,3,0.9997625000000001,
15,1.0,4,0.9997466666666668,
16,1.0,5,0.9997308333333335,
17,0.5,3,0.9997150000000001,
18,-1.0,4,0.9996991666666668,
19,4.0,8,0.9996833333333335,
20,-0.5,3,0.9996675000000002,
21,-4.0,7,0.9996516666666668,
22,-3.0,6,0.9996358333333335,
23,-0.5,3,0.9996200000000002,
24,-0.5,3,0.9996041666666668,
25,1.0,4,0.9995883333333335,
26,2.0,6,0.9995725000000002,
27,-0.5,3,0.9995566666666669,
28,1.0,6,0.9995408333333335,
29,1.0,5,0.9995250000000002,
30,-0.5,3,0.9995091666666669,
31,-3.0,6,0.9994933333333336,
32,-1.0,4,0.9994775000000002,
33,-0.5,3,0.9994616666666669,
34,0.5,3,0.9994458333333336,
35,0.5,3,0.9994300000000003,
36,-2.0,6,0.9994141666666669,
37,-0.5,3,0.9993983333333336,
38,3.0,6,0.9993825000000003,
39,-0.5,3,0.999366666666667,
40,2.0,5,0.9993508333333336,
41,3.0,8,0.9993350000000003,
42,-1.0,4,0.999319166666667,
43,0.5,3,0.9993033333333337,
44,2.0,6,0.9992875000000003,
45,1.0,5,0.999271666666667,
46,-0.5,3,0.9992558333333337,
47,-4.0,7,0.9992400000000004,
48,-3.0,6,0.999224166666667,
49,1.0,4,0.9992083333333337,
50,-1.0,5,0.9991925000000004,
51,-1.0,5,0.999176666666667,
52,-0.5,3,0.9991608333333337,
53,1.0,6,0.9991450000000004,
54,1.0,4,0.9991291666666671,
55,0.5,3,0.9991133333333337,
56,-0.5,3,0.9990975000000004,
57,2.0,5,0.9990816666666671,
58,1.0,6,0.9990658333333338,
59,2.0,5,0.9990500000000004,
60,-0.5,3,0.9990341666666671,
61,-1.0,4,0.9990183333333338,
62,3.0,7,0.9990025000000005,
63,-2.0,5,0.9989866666666671,
64,0.5,3,0.9989708333333338,
65,4.0,7,0.9989550000000005,
66,1.0,4,0.9989391666666672,
67,2.0,5,0.9989233333333338,
68,-1.0,4,0.9989075000000005,
69,-0.5,3,0.9988916666666672,
70,1.0,6,0.9988758333333339,
71,-3.0,7,0.9988600000000005,
72,-2.0,5,0.9988441666666672,
73,-0.5,3,0.9988283333333339,
74,2.0,5,0.9988125000000005,
75,3.0,8,0.9987966666666672,
76,-2.0,5,0.9987808333333339,
77,-2.0,5,0.9987650000000006,
78,-1.0,4,0.9987491666666672,
79,1.0,4,0.9987333333333339,
80,2.0,5,0.9987175000000006,
81,0.5,3,0.9987016666666673,
82,-1.0,4,0.9986858333333339,
83,1.0,4,0.9986700000000006,
84,0.5,3,0.9986541666666673,
85,0.5,3,0.998638333333334,
86,-2.0,5,0.9986225000000006,
87,-0.5,3,0.9986066666666673,
88,2.0,6,0.998590833333334,
89,0.5,3,0.9985750000000007,
90,-1.0,4,0.9985591666666673,
91,-1.0,4,0.998543333333334,
92,-1.0,4,0.9985275000000007,
93,-3.0,8,0.9985116666666674,
94,-0.5,3,0.998495833333334,
95,3.0,6,0.9984800000000007,
96,2.0,5,0.9984641666666674,
97,-1.0,4,0.998448333333334,
98,1.0,4,0.9984325000000007,
99,0.0,6,0.9984166666666674,
100,-0.5,3,0.9984008333333341,
101,0.5,3,0.9983850000000007,
102,-2.0,7,0.9983691666666674,
103,2.0,5,0.9983533333333341,
104,-0.5,3,0.9983375000000008,
105,-0.5,3,0.9983216666666674,
106,1.0,6,0.9983058333333341,
107,-4.0,6,0.9982900000000008,
108,0.5,3,0.9982741666666675,
109,-0.5,3,0.9982583333333341,
110,1.0,4,0.9982425000000008,
111,-1.0,6,0.9982266666666675,
112,1.0,4,0.9982108333333342,
113,2.0,5,0.9981950000000008,
114,-2.0,5,0.9981791666666675,
115,0.0,6,0.9981633333333342,
116,-0.5,3,0.9981475000000009,
117,-3.0,7,0.9981316666666675,
118,0.5,3,0.9981158333333342,
119,-0.5,3,0.9981000000000009,
120,-1.0,4,0.9980841666666675,
121,-0.5,3,0.9980683333333342,
122,0.5,3,0.9980525000000009,
123,-0.5,3,0.9980366666666676,
124,-1.0,4,0.9980208333333342,
125,-1.0,4,0.9980050000000009,
126,-4.0,7,0.9979891666666676,
127,0.5,3,0.9979733333333343,
128,-2.0,5,0.9979575000000009,
129,-3.0,6,0.9979416666666676,
130,-0.5,3,0.9979258333333343,
131,0.5,3,0.997910000000001,
132,-0.5,3,0.9978941666666676,
133,1.0,4,0.9978783333333343,
134,-2.0,5,0.997862500000001,
135,1.0,4,0.9978466666666677,
136,4.0,7,0.9978308333333343,
137,-2.0,5,0.997815000000001,
138,0.5,3,0.9977991666666677,
139,0.5,3,0.9977833333333344,
140,0.5,3,0.997767500000001,
141,-1.0,5,0.9977516666666677,
142,0.0,6,0.9977358333333344,
143,-0.5,3,0.997720000000001,
144,4.0,7,0.9977041666666677,
145,-1.0,4,0.9976883333333344,
146,-2.0,6,0.9976725000000011,
147,4.0,7,0.9976566666666677,
148,2.0,5,0.9976408333333344,
149,-3.0,6,0.9976250000000011,
150,-1.0,5,0.9976091666666678,
151,4.0,6,0.9975933333333344,
152,-0.5,3,0.9975775000000011,
153,-2.0,5,0.9975616666666678,
154,0.5,3,0.9975458333333345,
155,1.0,5,0.9975300000000011,
156,-2.0,6,0.9975141666666678,
157,1.0,4,0.9974983333333345,
158,-2.0,7,0.9974825000000012,
159,1.0,6,0.9974666666666678,
160,3.0,7,0.9974508333333345,
161,-0.5,3,0.9974350000000012,
162,0.5,3,0.9974191666666679,
163,-1.0,6,0.9974033333333345,
164,-3.0,8,0.9973875000000012,
165,1.0,7,0.9973716666666679,
166,-2.0,5,0.9973558333333346,
167,1.0,4,0.9973400000000012,
168,-1.0,4,0.9973241666666679,
169,1.0,4,0.9973083333333346,
170,2.0,6,0.9972925000000012,
171,0.5,3,0.9972766666666679,
172,-2.0,6,0.9972608333333346,
173,-3.0,6,0.9972450000000013,
174,-2.0,6,0.9972291666666679,
175,-2.0,6,0.9972133333333346,
176,-1.0,4,0.9971975000000013,
177,1.0,4,0.997181666666668,
178,1.0,5,0.9971658333333346,
179,-6.0,8,0.9971500000000013,
180,-2.0,6,0.997134166666668,
181,-1.0,5,0.9971183333333347,
182,-0.5,3,0.9971025000000013,
183,-2.0,5,0.997086666666668,
184,1.0,4,0.9970708333333347,1.7623504400253296
185,-3.0,7,0.9970550000000014,1.6562185883522034
186,-2.0,5,0.997039166666668,1.4881546099980671
187,-1.0,4,0.9970233333333347,1.412140130996704
188,-2.0,6,0.9970075000000014,1.3057149648666382
189,-2.0,5,0.996991666666668,1.255537748336792
190,1.0,4,0.9969758333333347,1.075586199760437
191,3.0,7,0.9969600000000014,0.9870093663533529
192,0.5,3,0.9969441666666681,0.9055212736129761
193,-0.5,3,0.9969283333333347,0.7568790018558502
194,-2.0,6,0.9969125000000014,0.7134310603141785
195,-2.0,6,0.9968966666666681,0.5922404328982035
196,0.5,3,0.9968808333333348,0.32047465443611145
197,0.5,3,0.9968650000000014,0.45599794387817383
198,-5.0,8,0.9968491666666681,0.3929231986403465
199,1.0,4,0.9968333333333348,0.33557017147541046
200,-1.0,4,0.9968175000000015,0.3150240182876587
201,-1.0,5,0.9968016666666681,0.24908020595709482
202,-0.5,3,0.9967858333333348,0.1656063050031662
203,-2.0,5,0.9967700000000015,0.14230239391326904
204,-3.0,6,0.9967541666666682,0.35842760900656384
205,1.0,4,0.9967383333333348,0.4624856077134609
206,-0.5,3,0.9967225000000015,0.7387171387672424
207,-2.0,5,0.9967066666666682,0.69853675365448
208,-2.0,5,0.9966908333333349,0.6084099213282267
209,-3.0,6,0.9966750000000015,0.5826360781987509
210,2.0,6,0.9966591666666682,0.4432458281517029
211,0.5,3,0.9966433333333349,0.1567118763923645
212,-0.5,3,0.9966275000000016,0.30278101563453674
213,2.0,6,0.9966116666666682,0.3401659031709035
214,0.5,3,0.9965958333333349,0.4454910159111023
215,-0.5,3,0.9965800000000016,0.3525797873735428
216,-1.0,5,0.9965641666666682,0.26154419034719467
217,4.0,7,0.9965483333333349,0.3066042164961497
