episode,episode_reward,episode_len,epsilon,loss,success
1,0,100,1.0,0.0011179043637336388,0
2,0,100,0.9999683333333333,0.00020687473315774695,0
3,0,100,0.9999366666666667,0.0003188392714582733,0
4,0,100,0.999905,0.00026327220344683153,0
5,0,100,0.9998733333333333,0.00031855497632932384,0
6,0,100,0.9998416666666666,0.00022186385493114358,0
7,0,100,0.99981,0.00028817455022362993,0
8,0,100,0.9997783333333333,0.0002778673547436483,0
9,0,100,0.9997466666666667,0.000227450626771315,0
10,0,100,0.999715,0.00026665402721846474,0
11,0,100,0.9996833333333334,0.00021230273618130013,0
12,0,100,0.9996516666666667,0.0002153215769067174,0
13,0,100,0.99962,0.00022026198239473161,0
14,0,100,0.9995883333333333,0.00021408377862826454,0
15,0,100,0.9995566666666666,0.00023015447914076503,0
16,0,100,0.999525,0.00022974489726038883,0
17,0,100,0.9994933333333333,0.00025683634321467254,0
18,0,100,0.9994616666666667,0.00027571147766138895,0
19,0,100,0.99943,0.0001742018692311831,0
20,0,100,0.9993983333333334,0.00022078448218962877,0
21,0,100,0.9993666666666666,0.00017997972885495982,0
22,0,100,0.999335,0.0002206269017915474,0
23,0,100,0.9993033333333333,0.00019074153487963486,0
24,0,100,0.9992716666666667,0.00026804049866768764,0
25,0,100,0.99924,0.00021832798778632424,0
26,0,100,0.9992083333333334,0.00021847788299055536,0
27,0,100,0.9991766666666667,0.0002152293475228362,0
28,0,100,0.999145,0.00023438669006281998,0
29,0,100,0.9991133333333333,0.00019892814409104177,0
30,0,100,0.9990816666666666,0.0002944534592097625,0
31,0,100,0.99905,0.0001939135972497752,0
32,0,100,0.9990183333333333,0.00022693143888318445,0
33,0,100,0.9989866666666667,0.00021100363197547268,0
34,0,100,0.998955,0.00019867345752572874,0
35,0,100,0.9989233333333334,0.0002710050747919013,0
36,0,100,0.9988916666666666,0.0002315228660518187,0
37,0,100,0.99886,0.0002424282848733128,0
38,0,100,0.9988283333333333,0.00022530928001287975,0
39,0,100,0.9987966666666667,0.00021949069585389225,0
40,0,100,0.998765,0.0002711458948397194,0
41,0,100,0.9987333333333334,0.0001817337755346671,0
42,0.5409999999999999,51,0.9987016666666667,0.00017496886935345281,1
43,0,100,0.99867,0.00031796919112821344,0
44,0,100,0.9986383333333333,0.00024615620204713193,0
45,0,100,0.9986066666666666,0.00024291468740557322,0
46,0,100,0.998575,0.00021590159805782606,0
47,0,100,0.9985433333333333,0.00024969001693534663,0
48,0,100,0.9985116666666667,0.0002694080505534657,0
49,0,100,0.99848,0.00027667789030601855,0
50,0,100,0.9984483333333334,0.00025317046718555504,0
51,0,100,0.9984166666666666,0.00018989684316693455,0
52,0,100,0.998385,0.00026189544740191196,0
53,0,100,0.9983533333333333,0.00019547430358215934,0
54,0.34299999999999997,73,0.9983216666666667,0.0002567045690514919,1
55,0,100,0.99829,0.00020162727694696513,0
56,0,100,0.9982583333333334,0.0002512872379156761,0
57,0,100,0.9982266666666667,0.00022783720298320985,0
58,0,100,0.998195,0.00025297759064415006,0
59,0,100,0.9981633333333333,0.00016415780564784654,0
60,0,100,0.9981316666666666,0.0002967448113849969,0
61,0,100,0.9981,0.0002980647766889888,0
62,0,100,0.9980683333333333,0.0002031582974086632,0
63,0,100,0.9980366666666667,0.00032654195016220913,0
64,0,100,0.998005,0.00030199447439372307,0
65,0,100,0.9979733333333334,0.0002866499355150154,0
66,0,100,0.9979416666666666,0.00022042261882234014,0
67,0,100,0.99791,0.00021284329270201852,0
68,0,100,0.9978783333333333,0.0002934198562252277,0
69,0,100,0.9978466666666667,0.00026462107336556074,0
70,0,100,0.997815,0.00028296296888584037,0
71,0,100,0.9977833333333334,0.0003304162178392289,0
72,0,100,0.9977516666666667,0.0003059988050517859,0
73,0,100,0.99772,0.00030488602782497765,0
74,0,100,0.9976883333333333,0.00029621230185512105,0
75,0,100,0.9976566666666666,0.00021934661323030013,0
76,0,100,0.997625,0.0003408216372190509,0
77,0,100,0.9975933333333333,0.00028705888966214845,0
78,0,100,0.9975616666666667,0.00028280624657782026,0
79,0,100,0.99753,0.0002860882153072453,0
80,0,100,0.9974983333333334,0.00023633673332369655,0
81,0,100,0.9974666666666666,0.00014809904787398408,0
82,0,100,0.997435,0.00028252821142814354,0
83,0,100,0.9974033333333333,0.0002803626881905075,0
84,0,100,0.9973716666666667,0.00021547666048718383,0
85,0,100,0.99734,0.00027914073631109205,0
86,0,100,0.9973083333333334,0.00026333182373491584,0
87,0,100,0.9972766666666667,0.00023315741678743508,0
88,0,100,0.997245,0.00022338257076626178,0
89,0,100,0.9972133333333333,0.00023561158966913353,0
90,0,100,0.9971816666666666,0.00025447852996876466,0
91,0,100,0.99715,0.0002522347876947606,0
92,0.118,98,0.9971183333333333,0.00022838758015532963,1
93,0,100,0.9970866666666667,0.00026581139267364053,0
94,0,100,0.997055,0.0002678231904792483,0
95,0,100,0.9970233333333334,0.00023575495219120058,0
96,0,100,0.9969916666666667,0.00030924734819564036,0
97,0,100,0.99696,0.0003069218151358655,0
98,0,100,0.9969283333333333,0.0003369943413781584,0
99,0,100,0.9968966666666667,0.0002427380105291377,0
100,0,100,0.996865,0.0002463316134890192,0
101,0,100,0.9968333333333333,0.0002486071890962194,0
102,0,100,0.9968016666666667,0.0002268974864273332,0
103,0,100,0.99677,0.0002447023123386316,0
104,0,100,0.9967383333333333,0.00028969916183996247,0
105,0,100,0.9967066666666666,0.0002882903934005299,0
106,0,100,0.996675,0.0002384622949102777,0
107,0,100,0.9966433333333333,0.0002441822453693021,0
108,0,100,0.9966116666666667,0.0002573167959599232,0
109,0,100,0.99658,0.00029814621419063767,0
110,0,100,0.9965483333333334,0.00032655645758495667,0
111,0,100,0.9965166666666667,0.00025049876308912643,0
112,0,100,0.996485,0.00021901707874349085,0
113,0,100,0.9964533333333333,0.00023255978361703456,0
114,0,100,0.9964216666666666,0.0002751278102914512,0
115,0,100,0.99639,0.0002979511282319436,0
116,0,100,0.9963583333333333,0.00016677427458489547,0
117,0,100,0.9963266666666667,0.00020788705875020243,0
118,0,100,0.996295,0.0002726394694764167,0
119,0,100,0.9962633333333333,0.00029053506395939623,0
120,0,100,0.9962316666666666,0.0004018013694076217,0
121,0,100,0.9962,0.00028425527678336947,0
122,0,100,0.9961683333333333,0.00025584437333236564,0
123,0,100,0.9961366666666667,0.00024366653084143764,0
124,0,100,0.996105,0.0002875553655758267,0
125,0,100,0.9960733333333334,0.00035057842473179335,0
126,0,100,0.9960416666666667,0.0002514397605227714,0
127,0,100,0.99601,0.00020866094568191328,0
128,0,100,0.9959783333333333,0.0003236679693873157,0
129,0,100,0.9959466666666666,0.00020506669749011054,0
130,0,100,0.995915,0.00025826329518167766,0
131,0,100,0.9958833333333333,0.00021650343209330457,0
132,0,100,0.9958516666666667,0.00030385274905711415,0
133,0,100,0.99582,0.00023288847794901811,0
134,0,100,0.9957883333333334,0.00020995805347411077,0
135,0,100,0.9957566666666666,0.0002938175190502079,0
136,0,100,0.995725,0.00025320643153463606,0
137,0,100,0.9956933333333333,0.0002354477796689025,0
138,0,100,0.9956616666666667,0.0002573641431081342,0
139,0,100,0.99563,0.000172110854073253,0
140,0.631,41,0.9955983333333334,0.0002187722727795495,1
141,0.595,45,0.9955666666666667,0.00027466905068851904,1
142,0,100,0.995535,0.00025300612669525434,0
143,0,100,0.9955033333333333,0.0002911550925273332,0
144,0,100,0.9954716666666666,0.00026687547015171733,0
145,0,100,0.99544,0.00021520306429010817,0
146,0,100,0.9954083333333333,0.00036969616863643753,0
147,0,100,0.9953766666666667,0.0002646691552217817,0
148,0,100,0.995345,0.0002858925799591816,0
149,0,100,0.9953133333333334,0.000297736453867401,0
150,0,100,0.9952816666666666,0.00029844279066310264,0
151,0,100,0.99525,0.0005033543849276612,0
152,0,100,0.9952183333333333,0.0004722407144799945,0
153,0,100,0.9951866666666667,0.0002642053335875971,0
154,0,100,0.995155,0.00027484387090225936,0
155,0,100,0.9951233333333334,0.00022143666908959857,0
156,0.955,5,0.9950916666666667,0.0002689670589461457,1
157,0,100,0.9950600000000001,0.0004969410558260279,0
