episode,episode_reward,episode_len,epsilon,loss
64,0.5,3,0.9994854166666669,
65,-1.0,4,0.9994775000000002,
66,-0.5,3,0.9994695833333336,
67,2.0,5,0.9994616666666669,
68,-2.0,6,0.9994537500000003,
69,-0.5,3,0.9994458333333336,
70,-0.5,3,0.9994379166666669,
71,-1.0,5,0.9994300000000003,
72,-1.0,5,0.9994220833333336,
73,1.0,4,0.9994141666666669,
74,0.5,3,0.9994062500000003,
75,1.0,4,0.9993983333333336,
76,1.0,4,0.999390416666667,
77,-2.0,5,0.9993825000000003,
78,2.0,5,0.9993745833333336,
79,-2.0,5,0.999366666666667,
80,-2.0,6,0.9993587500000003,
81,-4.0,7,0.9993508333333336,
82,-1.0,4,0.999342916666667,
83,-0.5,3,0.9993350000000003,
84,1.0,6,0.9993270833333336,
85,0.5,3,0.999319166666667,
86,0.0,6,0.9993112500000003,
87,-0.5,3,0.9993033333333337,
88,-0.5,3,0.999295416666667,
89,3.0,7,0.9992875000000003,
90,-1.0,4,0.9992795833333337,
91,-1.0,4,0.999271666666667,
92,-1.0,4,0.9992637500000003,
93,2.0,5,0.9992558333333337,
94,4.0,6,0.999247916666667,
95,-0.5,3,0.9992400000000004,
96,0.5,3,0.9992320833333337,
97,1.0,5,0.999224166666667,
98,1.0,4,0.9992162500000004,
99,-2.0,6,0.9992083333333337,
100,0.0,7,0.999200416666667,
101,0.5,3,0.9991925000000004,
102,-4.0,7,0.9991845833333337,
103,1.0,5,0.999176666666667,
104,-0.5,3,0.9991687500000004,
105,-0.5,3,0.9991608333333337,
106,-2.0,5,0.9991529166666671,
107,2.0,6,0.9991450000000004,
108,-3.0,8,0.9991370833333337,
109,-2.0,5,0.9991291666666671,
110,-2.0,5,0.9991212500000004,
111,0.0,7,0.9991133333333337,
112,4.0,8,0.9991054166666671,
113,-1.0,4,0.9990975000000004,
114,3.0,6,0.9990895833333338,
115,-2.0,5,0.9990816666666671,
116,0.0,6,0.9990737500000004,
117,2.0,6,0.9990658333333338,
118,-2.0,6,0.9990579166666671,
119,-0.5,3,0.9990500000000004,
120,2.0,7,0.9990420833333338,
121,2.0,6,0.9990341666666671,
122,-1.0,6,0.9990262500000004,
123,-1.0,5,0.9990183333333338,
124,-1.0,4,0.9990104166666671,
125,2.0,7,0.9990025000000005,
126,-0.5,3,0.9989945833333338,
127,-1.0,4,0.9989866666666671,
128,2.0,6,0.9989787500000005,
129,0.5,3,0.9989708333333338,
130,-0.5,3,0.9989629166666671,
131,0.0,6,0.9989550000000005,
132,1.0,6,0.9989470833333338,
133,1.0,4,0.9989391666666672,
134,-0.5,3,0.9989312500000005,
135,-5.0,7,0.9989233333333338,
136,0.5,3,0.9989154166666672,
137,-1.0,5,0.9989075000000005,
138,0.5,3,0.9988995833333338,
139,0.5,3,0.9988916666666672,
140,0.5,3,0.9988837500000005,
141,1.0,4,0.9988758333333339,
142,-0.5,3,0.9988679166666672,
143,-1.0,5,0.9988600000000005,
144,0.5,3,0.9988520833333339,
145,-1.0,4,0.9988441666666672,
146,0.5,3,0.9988362500000005,
147,0.5,3,0.9988283333333339,
148,0.5,3,0.9988204166666672,
149,-2.0,7,0.9988125000000005,
150,1.0,4,0.9988045833333339,
151,0.5,3,0.9987966666666672,
152,1.0,6,0.9987887500000006,
153,1.0,4,0.9987808333333339,
154,0.5,3,0.9987729166666672,
155,1.0,5,0.9987650000000006,
156,-2.0,6,0.9987570833333339,
157,-0.5,3,0.9987491666666672,
158,-0.5,3,0.9987412500000006,
159,-0.5,3,0.9987333333333339,
160,0.5,3,0.9987254166666673,
